paper_id,year,has_abstract,title,citation_count
d67782ce51211c7d18f1f864004b74d8afd67e6b,2018,True,User Behavior Map: Visual Exploration for Cyber Security Session Data,18
db59b5b6bc4ec9cb057fc9c0e84c8c7119cdffeb,2018,False,State Transition Graphs for Semantic Analysis of Movement Behaviours,22
ec712b3abf46d24921c65df144ab661775bcdbc0,2018,False,Bring It to the Pitch: Combining Video and Movement Data to Enhance Team Sport Analysis,157
ef2fe2d4f95c1f916fa590c7be13e9176c42e243,2018,True,Time-Aware Sub-Trajectory Clustering in Hermes@PostgreSQL,15
f43594553a7f50aad130d033c1dbeb3691626b31,2018,True,A conceptual framework for studying collective reactions to events in location-based social media,44
16824fab1d1af497099b94e0050dc63411ebe96d,2017,True,Persistent challenges in geovisualization – a community perspective,62
1f77dac49dc7e4ac4742751c4fb1cf2e6dfda52b,2017,False,Specification of Semantic Trajectories Supporting Data Transformations for Analytics: The datAcron Ontology,22
24e40004361b96904d7c33031bf10f71d3f7280a,2017,False,Revealing Patterns and Trends of Mass Mobility Through Spatial and Temporal Abstraction of Origin-Destination Movement Data,114
417ab4216c84ab40c2641448924067ee97f90098,2017,False,Mining Urban Data (Part C),7
4a6d46962d3f58d278cfb46d3ddebbb30bf275f5,2017,False,Geographic Data Science,43
5a9e76d877af325ea00770d6b4692a491514a301,2017,False,A Visual Analytics Approach for User Behaviour Understanding through Action Sequence Analysis,12
5e8ec98a131e3172b1ef6dde3cc57d9418463306,2017,False,"Teaser Use case ( Shots on Target ) , and collective movement Simplification Aggregation",0
5ecb712848cfd65fbc5a29647410a8dcb61180e7,2017,False,Dynamic Visual Abstraction of Soccer Movement,52
6358619c16bcd66811a5ef93ad595eb6a9832ff4,2017,False,Visual analysis of pressure in football,110
730cec8d8c5bfb630fc457425658a9cf2564f6e3,2017,False,Guest Editorial Introduction to the Special Issue on Visual Analysis for ITS,0
7aa8c95ee2ffdad2d5a5d3136936c0e484bd333e,2017,False,Visual exploration of movement and event data with interactive time masks,22
7ccf242314c823cf9aa01a7482e3fc2a6ee88304,2017,False,Visual Analysis of Dyslexia on Search,19
866f6aff52bc9a54ea7ca2a7ae716a5ab17d8cd9,2017,False,Visual analytics,0
890ef19b51ee773a7fc0f187372274f93feb10a4,2017,True,Applications of Trajectory Data in Transportation: Literature Review and Maryland Case Study,4
90e7454778922c9bf5529ff5ab06077a0c93b355,2017,False,Visual Analytics of Mobility and Transportation: State of the Art and Further Research Directions,137
9bcef45716949f604396fe7d32247cf05ce58eaf,2017,False,Maritime data integration and analysis: recent progress and research challenges,56
d1519cd2aae9b3e713dd26c2a9a97835a8324e79,2017,False,An Interactive Approach for Exploration of Flows Through Direction-Based Filtering,16
e64d54d2440774a2bd644a2071776f139a855054,2017,False,Long-standing research challenges in geographic visualization,0
f0ff03acd8ebd90c39b77480d656c41e6aecc55e,2017,True,Applications of Trajectory Data From the Perspective of a Road Transportation Agency: Literature Review and Maryland Case Study,40
0d97c86ae72641d199361f3e88b6a017e4cede2a,2016,False,"GeoVisual analytics: interactivity, dynamics, and scale",19
1df043bb565e74831a87c3eed7550cd9f48eec6c,2016,False,Mining Urban Data (Part B),8
2116beee773888b30c4859225453815e067a431f,2016,False,Leveraging spatial abstraction in traffic analysis and forecasting with visual analytics,39
2a37a9d98369f92314949e2c261b362ba0896e6c,2016,False,Message from the VIS Paper Chairs and Guest Editors,0
39c0e0eb8e00b50af27c86465c317fbc5b76cb55,2016,False,Exploration and refinement of regression tree models with interactive maps and spatial data transformations,1
